llave_sintetica,k
B_16_2_85 y más,4
B_16_2_Menor de 1,13
B_17_1_80-84,32
B_17_1_85 y más,48
B_18_1_1-4,42
B_18_1_10-14,29
B_18_1_15-19,23
B_18_1_20-24,41
B_18_1_25-29,42
B_18_1_30-34,45
B_18_1_35-39,32
B_18_1_40-44,22
B_18_1_45-49,26
B_18_1_5-9,29
B_18_1_50-54,23
B_18_1_55-59,26
B_18_1_60-64,26
B_18_1_65-69,14
B_18_1_70-74,5
B_18_1_75-79,6
B_18_1_80-84,5
B_18_1_85 y más,11
B_18_1_Menor de 1,14
B_18_2_1-4,28
B_18_2_10-14,22
B_18_2_15-19,9
B_18_2_20-24,14
B_18_2_25-29,16
B_18_2_30-34,27
B_18_2_35-39,26
B_18_2_40-44,17
B_18_2_45-49,13
B_18_2_5-9,26
B_18_2_50-54,11
B_18_2_55-59,21
B_18_2_60-64,11
B_18_2_65-69,11
B_18_2_70-74,14
B_18_2_75-79,12
B_18_2_80-84,12
B_18_2_85 y más,12
B_18_2_Menor de 1,12
B_19_1_1-4,25
B_19_1_10-14,20
B_19_1_15-19,17
B_19_1_20-24,12
B_19_1_25-29,19
B_19_1_30-34,5
B_19_1_35-39,5
B_19_1_40-44,8
B_19_1_45-49,4
B_19_1_5-9,30
B_19_1_50-54,8
B_19_1_55-59,4
B_19_1_60-64,5
B_19_1_65-69,7
B_19_1_70-74,2
B_19_1_75-79,2
B_19_1_80-84,2
B_19_1_85 y más,3
B_19_1_Menor de 1,7
B_19_2_1-4,19
B_19_2_10-14,17
B_19_2_15-19,13
B_19_2_20-24,9
B_19_2_25-29,8
B_19_2_30-34,7
B_19_2_35-39,7
B_19_2_40-44,4
B_19_2_45-49,2
B_19_2_5-9,24
B_19_2_50-54,5
B_19_2_55-59,3
B_19_2_60-64,5
B_19_2_65-69,3
B_19_2_70-74,1
B_19_2_75-79,2
B_19_2_80-84,2
B_19_2_85 y más,2
B_19_2_Menor de 1,7
B_20_1_1-4,3
B_20_1_10-14,1
B_20_1_25-29,2
B_20_1_45-49,2
B_20_1_5-9,4
B_20_1_55-59,1
B_20_1_60-64,4
B_20_1_65-69,1
B_20_1_75-79,1
B_20_1_Menor de 1,2
B_20_2_1-4,2
B_20_2_10-14,2
B_20_2_20-24,2
B_20_2_25-29,2
B_20_2_45-49,1
B_20_2_5-9,6
B_20_2_55-59,3
B_20_2_60-64,1
B_20_2_65-69,1
B_20_2_70-74,1
B_20_2_85 y más,1
B_21_1_1-4,33
B_21_1_10-14,21
B_21_1_15-19,8
B_21_1_20-24,6
B_21_1_25-29,14
B_21_1_30-34,19
B_21_1_35-39,9
B_21_1_40-44,7
B_21_1_45-49,6
B_21_1_5-9,19
B_21_1_50-54,5
B_21_1_55-59,5
B_21_1_60-64,3
B_21_1_65-69,4
B_21_1_70-74,4
B_21_1_75-79,2
B_21_1_85 y más,4
B_21_1_Menor de 1,17
B_21_2_1-4,19
B_21_2_10-14,9
B_21_2_15-19,10
B_21_2_20-24,5
